work_year,employment_type,remote_ratio,company_size
2021,FT,100,L
2021,FT,50,L
2021,FT,100,M
2021,FT,100,S
2021,PT,100,M
2021,FT,100,L
2021,FT,100,L
2021,FT,100,L
2021,FT,100,M
2021,FT,100,S
2021,FT,100,L
2021,FT,50,M
2021,FT,100,M
2021,FT,100,M
2021,FT,0,L
2021,PT,50,M
2021,FT,100,L
2021,FT,50,S
2021,FT,0,S
2021,FT,100,S
2021,FT,50,L
2021,FT,50,S
2021,FT,50,M
2021,FT,100,M
2021,FT,100,M
2021,FT,0,S
2021,FT,100,M
2021,FT,50,S
2021,FT,50,S
2021,FT,0,L
2021,FT,100,M
2021,FT,100,L
2021,FT,0,L
2021,FT,0,L
2021,FT,100,S
2021,FT,100,L
2021,FT,50,M
2021,FT,50,M
2021,FT,100,L
2021,FT,100,L
2021,FT,100,S
2021,FT,0,S
2021,FT,100,M
2021,FT,100,L
2021,FT,100,L
2021,FT,100,L
2021,FT,50,L
2021,FT,100,M
2021,FT,50,L
2021,FT,100,M
2021,FT,100,S
2021,FT,50,L
2021,FT,0,M
2021,FT,50,L
2021,FT,50,L
2021,FT,50,M
2021,FT,100,L
2021,FT,100,L
2021,FT,0,L
2021,FT,50,S
2021,FT,100,L
2021,FT,100,L
2021,FT,100,L
2021,FT,100,S
2021,FT,100,L
2021,FT,50,L
2021,FT,100,L
2021,FT,0,S
2021,FT,100,L
2021,FT,50,S
2021,FT,100,S
2021,FT,0,L
2021,FT,50,L
2021,FT,0,L
2021,FT,50,L
2021,FL,50,M
2021,FT,100,M
2021,FT,100,M
2021,FT,100,S
2021,FT,50,S
2021,FT,50,S
2021,FT,100,L
2021,FT,50,M
2021,FT,0,S
2021,FT,100,L
2021,FT,50,L
2021,FT,50,L
2021,FT,100,S
2021,FT,100,L
2021,FT,50,L
2021,FT,100,S
2021,FT,50,M
2021,FT,100,M
2021,FT,100,L
2021,FT,100,S
2021,FT,100,L
2021,FT,0,S
2021,FT,100,L
2021,FT,0,M
2021,FL,0,L
2021,FT,0,L
2021,FT,50,L
2021,FT,50,S
2021,FT,50,S
2021,FT,0,L
2021,FT,50,M
2021,FT,100,L
2021,PT,50,S
2021,FT,50,L
2021,FT,100,M
2021,FT,100,L
2021,FT,100,L
2021,FT,50,L
2021,FT,0,M
2021,FT,50,L
2021,FT,100,L
2021,CT,100,S
2021,FT,100,S
2021,FT,50,L
2021,FT,0,L
2021,FT,100,M
2021,FT,100,L
2021,FT,100,S
2021,FT,100,L
2021,FT,100,L
2021,FT,100,L
2021,FT,0,S
2021,FT,100,M
2021,FT,100,M
2021,FT,0,M
2021,FT,50,M
2021,FT,100,L
2021,FT,100,L
2021,FT,100,L
2021,FT,100,L
2021,FT,100,S
2021,FT,50,L
2021,FT,50,L
2021,FT,0,M
2021,FT,50,L
2021,FT,100,M
2021,FT,50,L
2021,FT,100,S
2021,FT,100,L
2021,FT,100,M
2021,FT,100,L
2021,FT,50,M
2021,FT,100,L
2021,FT,100,M
2021,FT,50,L
2021,FT,0,L
2021,FT,50,L
2021,FT,50,L
2021,FT,100,S
2021,FT,0,L
2021,FT,100,S
2021,FT,50,S
2021,FT,0,M
2021,FT,0,M
2021,FT,100,M
2021,FT,50,M
2021,FT,100,L
2021,FT,0,M
2021,FT,0,L
2021,FT,100,S
2021,FT,50,M
2021,FT,100,M
2021,FT,50,L
2021,FT,100,L
2021,FT,50,L
2021,FT,100,L
2021,FT,100,L
2021,FT,0,L
2021,PT,100,L
2021,CT,100,M
2021,FT,50,L
2021,FT,50,L
2021,FT,100,L
2021,FT,50,L
2021,FT,50,L
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,L
2022,FT,0,L
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,L
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,L
2022,FT,100,M
2022,FT,0,M
2022,FT,0,S
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,S
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,50,L
2022,FT,100,M
2022,FT,100,L
2022,FT,0,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,100,L
2022,FT,100,L
2022,FT,100,L
2022,FT,100,L
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,S
2022,FT,100,L
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,L
2022,FT,0,M
2022,FT,100,L
2022,FT,100,L
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,L
2022,FT,100,M
2022,FT,0,L
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,L
2022,FT,100,M
2022,FT,100,L
2022,FT,100,L
2022,FT,100,M
2022,FT,100,L
2022,FT,100,M
2022,FT,100,M
2022,FT,50,L
2022,FT,100,S
2022,FT,0,M
2022,FT,50,L
2022,FT,100,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,L
2022,FT,50,L
2022,FT,50,L
2022,PT,50,L
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,50,L
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,S
2022,FT,100,S
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,PT,50,M
2022,FL,100,M
2022,CT,100,M
2022,FT,100,M
2022,FT,100,S
2022,FT,100,L
2022,FT,100,M
2022,FT,100,M
2022,FT,50,M
2022,FT,100,M
2022,FT,100,M
2022,FT,50,L
2022,FT,100,L
2022,FT,100,L
2022,FT,100,S
2022,FT,100,L
2022,FT,100,L
2022,FT,100,M
2022,FT,50,M
2022,FT,100,L
2022,FT,0,L
2022,FT,100,L
2022,FT,100,L
2022,FT,100,S
2022,FT,50,L
2022,FT,100,S
2022,FT,100,S
2022,FT,0,M
2022,FT,100,S
2022,FT,100,M
2022,FT,100,M
2022,FT,0,L
2022,FT,100,L
2022,FT,100,M
2022,FT,100,M
2022,FT,100,S
2022,FT,100,L
2022,FT,100,L
2022,FT,100,L
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,L
2022,FT,0,L
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,100,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,100,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,M
2022,FT,0,M
2022,FT,100,M
2022,FT,100,L
